City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,albany,42.6001,-73.9662,282.51,55,61,1.99,US,1699652790
116,maintirano,-18.0667,44.0167,298.71,73,1,6.37,MG,1699653043
117,argo,37.6333,22.7333,285.81,84,69,1.12,GR,1699653043
118,khandyga,62.6667,135.6,237.17,100,65,0.58,RU,1699653043
119,nanao,37.05,136.9667,282.26,73,100,4.17,JP,1699653043
120,potam,27.6,-110.3833,301.29,21,0,6.49,MX,1699653043
121,joshimath,30.5667,79.5667,282.48,65,91,1.97,IN,1699653044
122,kailua-kona,19.6406,-155.9956,303.3,67,40,5.66,US,1699653044
123,tura,25.5198,90.2201,290.46,91,0,1.62,IN,1699653044
124,wanaraja,-7.1749,107.9808,294.79,97,62,1.31,ID,1699653044
125,tonj,7.2737,28.6822,297.16,85,73,1.14,SS,1699653044
126,igarka,67.4667,86.5833,266.59,95,100,7.66,RU,1699653044
127,saint-pierre,-21.3393,55.4781,298.47,73,75,2.06,RE,1699653044
128,naranjal,-2.6667,-79.6167,300.25,77,100,2.32,EC,1699653045
129,nuuk,64.1835,-51.7216,267.49,79,20,7.72,GL,1699653005
130,karratha,-20.7377,116.8463,297.05,45,1,5.5,AU,1699653045
131,colonia,50.9333,6.95,281.9,87,100,4.12,DE,1699652807
132,prince albert,53.2001,-105.7677,272.12,80,20,3.09,CA,1699653045
133,east ballina,-28.8667,153.5833,291.93,82,86,0.46,AU,1699653045
134,aral,40.5156,81.2636,279.59,48,62,4.41,CN,1699653045
135,hobyo,5.3505,48.5268,297.82,92,100,5.0,SO,1699653045
136,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,98,75,1.79,RU,1699653046
137,korla,41.7597,86.1469,280.98,39,100,3.09,CN,1699653046
138,galle,6.0367,80.217,298.62,85,43,1.2,LK,1699653046
139,buala,-8.145,159.5921,299.24,90,100,0.68,SB,1699653046
140,libenge,3.65,18.6333,295.29,96,100,0.97,CD,1699653046
141,nogliki,51.8333,143.1667,269.45,82,100,8.94,RU,1699653046
142,adam,22.3756,57.5233,296.28,62,40,1.57,OM,1699653046
143,arenapolis,-14.4503,-56.8461,305.05,37,91,1.65,BR,1699653047
144,edinburgh of the seven seas,-37.0676,-12.3116,287.86,90,100,10.0,SH,1699653047
145,constantia,44.1833,28.65,287.53,76,100,5.15,RO,1699653014
146,bcharre,34.2508,36.0106,283.33,83,52,0.83,LB,1699653047
147,tazacorte,28.629,-17.9293,293.69,78,20,4.12,ES,1699652843
148,yuzhno-kurilsk,44.0306,145.8556,278.91,88,94,8.13,RU,1699653047
149,aasiaat,68.7098,-52.8699,265.22,91,99,2.67,GL,1699653047
150,santa cruz,-17.8,-63.1667,308.85,43,20,9.26,BO,1699652941
151,parkes,-33.1333,148.1833,298.9,40,32,1.34,AU,1699652789
152,kargil,34.5667,76.1,270.91,79,69,1.26,IN,1699653048
153,key west,24.5557,-81.7826,302.15,81,0,5.14,US,1699652773
154,vernon,50.2581,-119.2691,282.93,66,41,3.13,CA,1699653048
155,ketchikan,55.3422,-131.6461,281.12,93,100,6.17,US,1699652766
156,fort mcmurray,56.7268,-111.381,276.92,70,0,4.63,CA,1699653048
157,keflavik,64.0049,-22.5624,276.39,87,40,4.12,IS,1699653048
158,lisala,2.15,21.5167,294.71,97,98,0.48,CD,1699653048
159,ilha de mocambique,-15.0342,40.7358,299.12,83,89,5.9,MZ,1699653048
160,haiku-pauwela,20.9219,-156.3051,302.16,54,20,2.06,US,1699653049
161,jagatsinghapur,20.2667,86.1667,294.35,74,15,2.2,IN,1699653049
162,punta arenas,-53.15,-70.9167,288.16,54,0,5.14,CL,1699653049
163,sogndal,61.2283,7.1003,273.36,80,40,1.03,NO,1699653049
164,vorgashor,67.5833,63.95,257.24,100,81,1.4,RU,1699653049
165,east london,-33.0153,27.9116,293.13,90,39,5.85,ZA,1699653049
166,xiongzhou,25.1167,114.3,291.27,95,100,2.02,CN,1699653049
167,fidenza,44.864,10.0667,282.8,93,75,2.57,IT,1699653050
168,sakakah,29.9697,40.2064,292.91,32,56,2.24,SA,1699653050
169,guarapari,-20.6667,-40.4975,299.2,90,2,2.54,BR,1699653050
170,mata-utu,-13.2816,-176.1745,301.54,79,99,5.93,WF,1699653050
171,stutterheim,-32.5708,27.424,290.98,69,69,2.98,ZA,1699653050
172,hawaiian paradise park,19.5933,-154.9731,300.3,79,100,2.57,US,1699653050
173,seaside,36.6111,-121.8516,296.33,51,0,1.34,US,1699652840
174,puerto baquerizo moreno,-0.9,-89.6,299.7,74,75,4.12,EC,1699653050
175,ad-damazin,11.7891,34.3592,296.8,77,23,2.13,SD,1699653051
176,broken hill,-31.95,141.4333,302.23,25,44,5.21,AU,1699653032
177,kavaratti,10.5669,72.642,300.97,78,59,3.18,IN,1699653051
178,mweka,-4.85,21.5667,293.63,92,96,0.25,CD,1699653051
179,stanley,54.868,-1.6985,276.22,92,0,3.09,GB,1699653051
180,maridi,4.9158,29.4742,294.13,85,49,1.08,SS,1699653051
181,solleftea,63.1667,17.2667,274.07,96,100,5.06,SE,1699653051
182,thompson,55.7435,-97.8558,272.24,80,100,2.57,CA,1699653051
183,las tablas,7.7667,-80.2833,300.56,83,100,0.96,PA,1699652913
184,kone,-21.0595,164.8658,299.11,47,76,2.33,NC,1699653052
185,la sarre,48.8002,-79.1996,269.93,92,100,3.56,CA,1699653052
186,san jose de guanipa,8.8872,-64.1651,302.08,61,96,3.35,VE,1699653052
187,mato verde,-15.3972,-42.8664,302.37,29,45,2.07,BR,1699653052
188,hassi messaoud,31.6804,6.0729,293.7,32,70,1.96,DZ,1699653052
189,klyuchi,52.2667,79.1667,276.59,88,90,4.09,RU,1699653052
190,margate,51.3813,1.3862,280.76,79,12,3.13,GB,1699653054
191,tekeli,44.83,78.8239,273.41,73,16,3.7,KZ,1699653054
192,guankou,28.15,113.6333,284.04,96,100,1.61,CN,1699653055
193,dan sadau,11.2962,6.4952,298.85,21,65,2.71,NG,1699653055
194,soe,-9.8607,124.284,294.21,57,4,0.88,ID,1699653055
195,sitka,57.0531,-135.33,281.09,66,75,8.23,US,1699652820
196,ouadda,8.0777,22.4007,294.19,94,86,0.99,CF,1699653056
197,anna regina,7.2644,-58.5077,300.06,85,51,3.92,GY,1699653056
